year,mileage_km,fuel_type,price_pln,brand,model,power,gearbox,drive,fuel_consumption_outside_city,fuel_consumption_in_city,body_type,color,country_of_origin,accident_free,condition
2019,50480.0,Diesel,264900.0,Audi,Q7,231.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,SUV,Brązowy,Polska,Tak,Używane
2015,270000.0,Diesel,98500.0,Audi,A6 Allroad,320.0,Automatyczna,Front,4.947841306884481,7.7,Kombi,Srebrny,Belgia,Tak,Używane
2007,179600.0,Benzyna,15900.0,Audi,A4,130.0,Manualna,Front,6.0,11.0,Kombi,Czarny,Polska,Nie,Używane
2023,4810.0,Benzyna,64500.0,Audi,Q3,150.0,Automatyczna,Front,5.0,6.0,SUV,Czarny,Niemcy,Nie,Używane
2012,231000.0,Diesel,52000.0,Audi,A4,204.0,Automatyczna,Front,4.8,5.7,Kombi,Czarny,Polska,Nie,Używane
2011,222000.0,Benzyna,85000.0,Audi,A7,310.0,Automatyczna,Front,4.947841306884481,10.0,Kompakt,Srebrny,Polska,Nie,Używane
2015,227000.0,Diesel,52000.0,Audi,A4,150.0,Manualna,Front,3.0,4.0,Sedan,Czarny,Dania,Nie,Używane
2022,4425.0,Elektryczny,339900.0,Audi,e-tron,408.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,SUV,Beżowy,Niemcy,Tak,Używane
2016,128000.0,Diesel,83900.0,Audi,A4,190.0,Automatyczna,Front,3.0,4.0,Kombi,Brązowy,Niemcy,Tak,Używane
2022,21400.0,Diesel,323000.0,Audi,Q7,231.0,Automatyczna,4X4,5.0,8.0,SUV,Granatowy,Polska,Tak,Używane
2020,43000.0,Benzyna,239000.0,Audi,A6,340.0,Automatyczna,4X4,5.0,10.0,Kombi,Granatowy,Polska,Nie,Używane
2019,92827.0,Diesel,214020.0,Audi,A6,286.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Sedan,Szary,Niemcy,Tak,Używane
2011,253372.0,Diesel,38000.0,Audi,A6,240.0,Automatyczna,4X4,5.0,9.0,Kombi,Czarny,Polska,Nie,Używane
2009,309488.0,Diesel,45900.0,Audi,Q5,170.0,Automatyczna,4X4,5.0,8.0,SUV,Czarny,Norwegia,Tak,Używane
2011,137721.0,Benzyna,80000.0,Audi,A8,372.0,Automatyczna,4X4,4.947841306884481,13.0,Sedan,Czarny,Polska,Nie,Używane
2004,353355.0,Benzyna+LPG,21499.0,Audi,A6,255.0,Automatyczna,4X4,4.947841306884481,7.473995451099318,Kombi,Czarny,Niemcy,Tak,Używane
2005,238000.0,Benzyna,25900.0,Audi,A3,200.0,Manualna,4X4,7.0,12.0,Kompakt,Brązowy,Polska,Nie,Używane
2011,132000.0,Benzyna,52900.0,Audi,A5,160.0,Manualna,Front,5.8,9.6,Coupe,Czarny,Niemcy,Nie,Używane
2009,225000.0,Benzyna,28700.0,Audi,A3,102.0,Manualna,Front,4.947841306884481,9.6,Kabriolet,Biały,Niemcy,Nie,Używane
2024,1.0,Benzyna,175400.0,Audi,A4,150.0,Automatyczna,Front,6.0,8.0,Sedan,Biały,Polska,Tak,Nowe
2012,185000.0,Diesel,61000.0,Audi,A6,177.0,Automatyczna,Front,4.5,6.1,Kombi,Czarny,Szwecja,Tak,Używane
2018,136000.0,Diesel,174900.0,Audi,A6,286.0,Automatyczna,4X4,4.0,7.0,Kombi,Czarny,Polska,Tak,Używane
2014,83000.0,Benzyna,54900.0,Audi,A6,204.0,Automatyczna,4X4,4.947841306884481,10.7,Sedan,Czarny,Polska,Nie,Używane
2016,419000.0,Diesel,67900.0,Audi,Q7,286.0,Automatyczna,4X4,6.0,7.0,SUV,Szary,Polska,Nie,Używane
2023,16000.0,Elektryczny,184500.0,Audi,Q4 Sportback,204.0,Automatyczna,Rear,4.947841306884481,7.473995451099318,SUV,Czarny,Polska,Nie,Używane
2009,259000.0,Diesel,24999.0,Audi,A3,140.0,Automatyczna,Front,4.0,7.0,Kompakt,Inny kolor,Francja,Tak,Używane
2007,274500.0,Benzyna,16800.0,Audi,A4,130.0,Manualna,Front,4.947841306884481,7.473995451099318,Sedan,Granatowy,Polska,Nie,Używane
2016,122636.0,Benzyna,37000.0,Audi,Q3,220.0,Automatyczna,4X4,5.0,8.0,SUV,Biały,Polska,Nie,Używane
2014,90871.0,Diesel,37000.0,Audi,A6,326.0,Automatyczna,4X4,5.0,7.0,Sedan,Biały,Polska,Nie,Używane
2013,272562.0,Benzyna,54500.0,Audi,A5,177.0,Automatyczna,4X4,4.947841306884481,7.2,Sedan,Czarny,Polska,Nie,Używane
2024,1.0,Diesel,243400.0,Audi,Q5,204.0,Automatyczna,4X4,4.947841306884481,6.0,SUV,Czarny,Polska,Tak,Nowe
2019,123000.0,Diesel,159000.0,Audi,A6,204.0,Automatyczna,Front,4.0,5.0,Sedan,Czarny,Niemcy,Tak,Używane
2015,149000.0,Benzyna,82900.0,Audi,S7,450.0,Automatyczna,4X4,7.0,13.0,Sedan,Srebrny,Polska,Nie,Używane
2022,21855.0,Benzyna,279000.0,Audi,RS Q3,400.0,Automatyczna,4X4,4.947841306884481,10.8,SUV,Zielony,Polska,Tak,Używane
2010,335500.0,Diesel,78778.0,Audi,Q7,340.0,Automatyczna,4X4,4.947841306884481,12.0,SUV,Czarny,Polska,Tak,Używane
2009,224000.0,Diesel,28500.0,Audi,A3,105.0,Manualna,4X4,4.947841306884481,7.473995451099318,Kompakt,Czarny,Polska,Nie,Używane
2012,254000.0,Diesel,89500.0,Audi,A6 Allroad,313.0,Automatyczna,4X4,6.0,7.0,Kombi,Brązowy,Polska,Tak,Używane
2019,104000.0,Benzyna,277000.0,Audi,RS4,450.0,Automatyczna,4X4,7.0,12.0,Kombi,Srebrny,Polska,Tak,Używane
2011,226000.0,Diesel,43900.0,Audi,A4 Allroad,143.0,Manualna,4X4,4.947841306884481,6.0,Kombi,Szary,Belgia,Tak,Używane
2017,155575.0,Diesel,130000.0,Audi,A6,190.0,Automatyczna,4X4,4.0,5.0,Sedan,Czarny,Polska,Tak,Używane
1996,367000.0,Diesel,16100.0,Audi,A6,90.0,Manualna,Front,4.947841306884481,7.473995451099318,Sedan,Srebrny,Belgia,Tak,Używane
